seed,step,position,net_worth
456,619,-1.0,10342.96147410718
456,620,-1.0,10342.843606945913
456,621,-1.0,10336.76283492189
456,622,-1.0,10324.43261230589
456,623,-1.0,10309.875269022841
456,624,-1.0,10294.969565138086
456,625,-1.0,10289.42778996149
456,626,-1.0,10291.738154224375
456,627,-1.0,10306.750256679748
456,628,-1.0,10326.226089456275
456,629,-1.0,10348.474859495456
456,630,-1.0,10359.81473231051
456,631,-1.0,10365.496331942086
456,632,-1.0,10360.514379444505
456,633,-1.0,10356.056116655518
456,634,-1.0,10355.738980328862
456,635,-1.0,10367.959983427974
456,636,0.0,10364.849595432946
456,637,1.0,10335.196581838361
456,638,1.0,10313.384711282788
456,639,1.0,10305.984617108681
456,640,1.0,10306.507844961421
456,641,1.0,10306.551202903403
456,642,1.0,10307.459092194984
456,643,1.0,10299.781610425876
456,644,1.0,10289.427713892783
456,645,1.0,10273.274713035822
456,646,1.0,10263.03205816723
456,647,1.0,10256.99115326723
456,648,1.0,10257.025092508415
456,649,1.0,10253.107567173742
456,650,1.0,10258.60472432651
456,651,1.0,10259.04906009537
456,652,1.0,10262.261442126981
456,653,1.0,10266.37636074402
456,654,1.0,10267.333844550234
456,655,1.0,10261.83509737722
456,656,1.0,10254.822562819525
456,657,1.0,10243.918866004848
456,658,1.0,10238.128074699742
456,659,1.0,10237.07475854298
456,660,1.0,10237.56447848465
456,661,0.0,10234.493209141105
456,662,0.0,10234.493209141105
456,663,0.0,10234.493209141105
456,664,0.0,10234.493209141105
456,665,0.0,10234.493209141105
456,666,-1.0,10221.399047142753
456,667,-1.0,10207.591299061243
456,668,-1.0,10201.251680050093
456,669,-1.0,10200.386319183503
456,670,-1.0,10200.91399714925
456,671,-1.0,10202.186946569142
456,672,-1.0,10207.901421456463
456,673,-1.0,10202.627663919302
456,674,-1.0,10199.868804288628
456,675,-1.0,10199.476113325589
456,676,-1.0,10197.767628105461
456,677,-1.0,10206.556704573053
456,678,-1.0,10225.214567751827
456,679,-1.0,10233.150553502426
456,680,-1.0,10242.020744534573
456,681,-1.0,10244.536759011984
456,682,-1.0,10226.215018046927
456,683,-1.0,10203.930442501249
456,684,-1.0,10184.369735458717
456,685,-1.0,10168.755738802492
456,686,-1.0,10164.969564659701
456,687,-1.0,10164.908463701557
456,688,-1.0,10161.710778956103
